FromCouponDate;ToCouponDate;NumberOfCoupons;InitialPrice;PriceAfterDiscount;NameOfBusiness;Category;Keywords;Area;ProminentInNewsletter;ExtraDeal;RequiresPhysicalVisit;MultipleStores;LatinName;PopularBrand;MaxCouponsPerPerson;MaxNumCouponsWithSameName;MinCoupons;Address;GeographicalArea;Video;BottomImage;PhoneReservation;ValidForSaturdays;ValidForSundays;ValidForEveryWeekday;ValidWithoutTimeExceptions;OnePersonCoupon;ExtraDiscounts;ComboDeal;Has Options;NumberOfVisits;DealStartDate;DealEndDate;Location;Amount;AmountPerDay;Discount;CouponDuration;WeekendDeal;Month;MonthAvg;Normalized;ID;RoundedDiscount;RoundedPrice;RoundedCouponDuration;HasFewerCouponsOnSameNameThanCanBuy;URL;DaysForActivation;QuantizedDealsForActivation
17/6/10 0:00;17/6/10 23:59;294;45;18;MF Day Spa;Beauty;;;Yes;No;Yes;No;Yes;No;10;10;10;Ν. Κόσμος ;1;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Single;19/6/2010;31/12/2010;Athens;5292;5292,00;0,60;196;No;6;4695;1,12715655;6_17_MF Day Spa_Athens_No;0,60;20;4;No;http://www.goldendeals.gr/deals/18euros-mf-day-spa;1;1
18/6/10 0:00;18/6/10 23:59;74;29;17,5;Adventure Park;Outdoor Activities;;;Yes;No;Yes;No;Yes;No;5;5;10;Μαλακάσα ;6;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Single;21/6/2010;30/9/2010;Athens;1295;1295,00;0,40;102;No;6;4695;0,275825346;6_18_Adventure Park_Athens_No;0,40;20;2;No;http://www.goldendeals.gr/deals/17.5euros-adventure-park;2;2
19/6/10 0:00;21/6/10 23:59;19;226;117;Curves;Gym / Exercise / Fit;;;Yes;No;Yes;Yes;Yes;No;1;1;10;;1,2,3,4,5,6,12,13;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Unlimited;23/6/2010;31/10/2010;Athens;2223;741,17;0,48;131;Yes;6;477;1,5538188;6_19_Curves_Athens_No;0,40;115;3;No;http://www.goldendeals.gr/deals/117euros-curves;1;1
22/6/10 0:00;22/6/10 23:59;96;30;15;Polly Magoo;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;4;20;Μεταξουργείο;1;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Single;24/6/2010;30/9/2010;Athens;1440;1440,00;0,50;99;No;6;4695;0,306709265;6_22_Polly Magoo_Athens_No;0,60;15;2;No;http://www.goldendeals.gr/deals/15euros-polly-maggoo;1;1
23/6/10 0:00;23/6/10 23:59;1933;13;3;Soft Touch;Products;car wash;;Yes;No;Yes;No;Yes;No;2;2;30;Αγία Παρασκευή;6;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;Single;25/6/2010;31/12/2010;Athens;5799;5799,00;0,77;190;No;6;4695;1,23514377;6_23_Soft Touch_Athens_No;0,80;5;4;No;http://www.goldendeals.gr/deals/3euros-soft-touch;1;1
24/6/10 0:00;24/6/10 23:59;3001;100;10;Athens Med Spa;Beauty;;;Yes;No;Yes;No;Yes;No;4;4;20;Καλλιθέα;1;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Single;26/6/2010;31/12/2010;Athens;30010;30010,00;0,90;189;No;6;4695;6,391906283;6_24_Athens Med Spa_Athens_No;1,00;10;4;No;http://www.goldendeals.gr/deals/10euros-athens-med-spa-massage;1;1
25/6/10 0:00;25/6/10 23:59;1134;56,5;5;Funmily;Family Activities / Kid;;;Yes;No;Yes;No;Yes;No;2;2;10;Μαρούσι;2;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Single;29/6/2010;31/12/2010;Athens;5670;5670,00;0,91;186;No;6;4695;1,207667732;6_25_Funmily_Athens_No;1,00;5;4;No;http://www.goldendeals.gr/deals/5euros-funmily;3;3
26/6/10 0:00;28/6/10 23:59;4;87,5;52,5;Telis Kikeris;Beauty;Hair Salon;;Yes;No;Yes;No;No;No;1;1;10;Πειραιάς;5;Yes;No;Yes;No;No;No;Yes;Yes;No;Yes;No;Single;30/6/2010;4/9/2010;Athens;0;0,00;0,40;67;Yes;6;477;0;6_26_Telis Kikeris_Athens_No;0,40;55;1;No;http://www.goldendeals.gr/deals/52.50euros-telis-kikeris;1;1
29/6/10 0:00;29/6/10 23:59;214;40;20;Τζουγκρί;Tasting;Greek;;Yes;No;Yes;No;No;No;4;4;20;’λιμος;3;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Single;1/7/2010;5/9/2010;Athens;4280;4280,00;0,50;67;No;6;4695;0,911608094;6_29_Τζουγκρί_Athens_No;0,60;20;1;No;http://www.goldendeals.gr/deals/20euros-tzougri;1;1
30/6/10 0:00;30/6/10 23:59;374;25;5;Body and Face;Beauty;;;Yes;No;Yes;No;Yes;No;4;4;20;Νέα Σμύρνη;3;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Single;2/7/2010;31/12/2010;Athens;1870;1870,00;0,80;183;No;6;4695;0,39829606;6_30_Body and Face_Athens_No;0,80;5;4;No;http://www.goldendeals.gr/deals/5euros-body-and-face;1;1
